Member,Street Address:,City:,Address.x,Address.y,Site Name,Site ID,distance,Agency,Zip Code:,County:,Agency Name,Location Name:,Square footage of space occupied:,"Total square footage of building (including other occupants, where applicable):","Primary use of space (i.e., office, storage, etc.):",Staff Population,"Does your agency have a resident population regularly onsite (e.g,. correctional facilities)?",Non-Staff Population,"Does your agency have short-term visitors (e.g., public meetings, hearings, large events, etc.) who contribute to your waste/recycling generation?",Approximate number of visitors per year:,Contact name:,Phone:,Fax:,Email:,Trash Hauler,Trash Destination,Trash Actual vs Volume,Trash (lbs),Recycling: Single Stream Hauler,Recycling: Single Stream Destination,Recycling: Single Stream Actual vs Volume,Recycling: Single Stream Actual Weight (in Pounds),"Recycling: Dual stream (Bottles, cans & containers) Hauler","Recycling: Dual stream (Bottles, cans & containers) Destination","Recycling: Dual stream (Bottles, cans & containers) Actual vs Volume","Recycling: Dual stream (Bottles, cans & containers) Actual Weight (in Pounds)","Recycling: Dual stream (Paper, including cardboard) Hauler","Recycling: Dual stream (Paper, including cardboard) Destination","Recycling: Dual stream (Paper, including cardboard) Actual vs Volume","Recycling: Dual stream (Paper, including cardboard) Actual Weight (in Pounds)",Organics Hauler,Organics Destination,Organics Actual vs Volume,Organics (lbs),Total MSW,Aluminum (scrap other than cans) Hauler/Recycler,Aluminum (scrap other than cans) Actual vs Volume,Aluminum (scrap other than cans) Actual Weight (in Pounds),Anti-freeze Hauler/Recycler,Anti-freeze Actual vs Volume,Anti-freeze Actual Weight (in Pounds),Auto Oil Hauler/Recycler,Auto Oil Actual vs Volume,Auto Oil Actual Weight (in Pounds),Batteries: appliance (rechargeable) Hauler/Recycler,Batteries: appliance (rechargeable) Actual vs Volume,Batteries: appliance (rechargeable) Actual Weight (in Pounds),Batteries: vehicle Hauler/Recycler,Batteries: vehicle Actual vs Volume,Batteries: vehicle Actual Weight (in Pounds),Construction Material Hauler/Recycler,Construction Material Actual vs Volume,Construction Material Actual Weight (in Pounds),"E-Waste (computers, laptops, printers, etc.) Hauler/Recycler","E-Waste (computers, laptops, printers, etc.) Actual vs Volume","E-Waste (computers, laptops, printers, etc.) Actual Weight (in Pounds)",Fluorescents Hauler/Recycler,Fluorescents Actual vs Volume,Fluorescents Actual Weight (in Pounds),"Grease, Bones, Tallow Hauler/Recycler","Grease, Bones, Tallow Actual vs Volume","Grease, Bones, Tallow Actual Weight (in Pounds)",Metal (scrap) Hauler/Recycler,Metal (scrap) Actual vs Volume,Metal (scrap) Actual Weight (in Pounds),Paint Hauler/Recycler,Paint Actual vs Volume,Paint Actual Weight (in Pounds),Parts Cleaner Hauler/Recycler,Parts Cleaner Actual vs Volume,Parts Cleaner Actual Weight (in Pounds),Solvent Hauler/Recycler,Solvent Actual vs Volume,Solvent Actual Weight (in Pounds),Textiles Hauler/Recycler,Textiles Actual vs Volume,Textiles Actual Weight (in Pounds),Toner Cartridges Hauler/Recycler,Toner Cartridges Actual vs Volume,Toner Cartridges Actual Weight (in Pounds),Tires Hauler/Recycler,Tires Actual vs Volume,Tires Actual Weight (in Pounds),"Wood Waste (mfg. waste, chips, or pallets) Hauler/Recycler","Wood Waste (mfg. waste, chips, or pallets) Actual vs Volume","Wood Waste (mfg. waste, chips, or pallets) Actual Weight (in Pounds)",All Other Actual Weight (in Pounds),Specialty Waste (lbs),"Please specify materials included in ""All Other"" weight:",Recycling (lbs),MSW Recycling Rate (%),Total Recycling Rate (%),Waste Per Capita (lbs per staff),Waste Per Capita Including Non-Staff (lbs per staff),"Waste Per Capita (including staff, resident and visitor)",Is your agency location utilizing the state's recycling best practices?,Indicate your agency<U+0092>s timeline for implementing the new program:,Details:,The State of Minnesota has established a Green Meeting Policy. This can be provided by the Minnesota Department of Administration and the Minnesota Pollution Control Agency. Is your agency location following the Green Meeting Policy for internal and external meetings of all sizes?,Indicate your agency's timeline for implementing the Green Meeting Policy:,Details:_1,State agency locations often have the opportunity to reduce consumption of particular products or services. Does your agency location engage in any of the below efforts to reduce overall consumption (select all that apply):
"R6A: Wabasha Truck Station - 423 Hiawatha Drive NW Wabasha, MN 55981",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste management,NA,Actual weight,2208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2208,NA,NA,NA,NA,NA,NA,loes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6A: Winona Truck Station - 5420 Hwy 61 W Goodview, MN 55987",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,NA,6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6625,NA,NA,NA,NA,NA,NA,loes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timms auto salvage,Actual weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6B: Albert Lea Truck Station - 22231 770th Avenue Albert Lea, MN 56007",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,NA,4550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4550,NA,NA,NA,NA,NA,NA,loes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-35 auto salvage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6B: Austin Truck Station - 1500 11th Drive NE Austin, MN 55912",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,Weight converted from volume,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9100,NA,NA,NA,NA,NA,NA,loes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-35 auto salvage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,3.5,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,0.04,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6B: Dodge Center Truck Station - 201 Airport Road Dodge Center, MN 55927",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,Weight converted from volume,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6B: Faribault Truck Station - 555 NW 14th Street Faribault, MN 55021",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste management,NA,Weight converted from volume,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9100,NA,NA,NA,NA,NA,NA,loes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"D6B: NORTHFIELD TRUCK STATION 510 WEST WOODLEY STREET, NORTHFIELD MN 55057",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,Weight converted from volume,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6B: Owatonna Headquarters - 1010 21st Avenue NW Owatonna, MN 55060",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,NA,NA,NA,NA,NA,Waste Management,NA,Weight converted from volume,18200,Waste Management,NA,Weight converted from volume,3626.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21826.22,I-35 auto salvage,NA,NA,NA,NA,NA,LOES,NA,NA,NA,NA,NA,NA,Weight converted from volume,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I-35 AUTO SALVAGE,Actual weight,39660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weight converted from volume,31.5,NA,NA,NA,first state tire recycling,NA,NA,NA,NA,NA,NA,40090.5,NA,3626.22,16.61,70.61,NA,NA,NA,Yes,NA,NA,NA,NA,NA,"Refillable water stations (plumbed in)
Partner with State Surplus for redistributing unneeded supplies"
"R6B: Red Wing Truck Station - 3890 Pepin Avenue Red Wing, MN 55506",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste management,NA,Weight converted from volume,27300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27300,NA,NA,NA,NA,NA,NA,loes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timms auto salvage,Actual weight,14420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14420,NA,NA,NA,34.56,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"R6B: Zumbrota Truck Station - 940 W 8th Street Zumbrota, MN 55992",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,Waste Management,NA,Weight converted from volume,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timms auto salvage,Actual weight,6720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6720,NA,NA,NA,42.48,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Partner with State Surplus for redistributing unneeded supplies
"Metro: Camden Truck Station - 3636 Washington Avenue North Minneapolis, MN 55412",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,27,No,NA,No,0,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,104400,Republic Services,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,31.5,31.5,5644.44,5644.44,5644.44,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Cedar Avenue Truck Station - 1900 East 66th Street Richfield, MN 55423",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,42,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Waste Management,NA,Actual weight,129420,Waste Management,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,27.05,27.05,4224.29,4224.29,4224.29,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Chaska Truck Station - 4725 Chaska Blvd Chaska, MN 55318",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,18,No,NA,No,0,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,61980,Republic Services,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,43.64,43.64,6110,6110,6110,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Eden Prairie Truck Station - 7333 Bryant Lake Drive Eden Prairie, MN 55343",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,24,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,60340,Republic Services,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,44.3,44.3,4514.17,4514.17,4514.17,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Forest Lake Truck Station - 22010 Everton Avenue North Forest Lake, MN 55025",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,24,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,47760,Republic Services,NA,Actual weight,96000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143760,NA,NA,NA,NA,NA,NA,NA,Actual weight,13538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13540.5,NA,96000,66.78,69.64,6554.19,6554.19,6554.19,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Golden Valley Headquarters - 2055 North Lilac Drive Golden Valley, MN 55422",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,178,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Waste Management,NA,Actual weight,97720,Waste Management,NA,Actual weight,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883,NA,40000,29.04,29.5,778.67,778.67,778.67,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Hastings Truck Station - 951 E 21st Street Hastings, MN 55033",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,18,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,45240,Republic Services,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,51.48,51.48,5180,5180,5180,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Lakeville Truck Station - 16780 Kenrick Avenue Lakeville, MN 55044",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,23,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,NA,NA,Actual weight,64820,Waste Management,NA,Actual weight,36000,Waste Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,35.71,35.71,4383.48,4383.48,4383.48,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Maple Grove Truck Station - 9501 Hemlock Lane North Maple Grove, MN 55369",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,30,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,106580,Republic Services,NA,Actual weight,44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150580,NA,NA,NA,NA,NA,NA,NA,Actual weight,31290,NA,NA,NA,NA,Actual weight,7586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,91340,NA,Actual weight,85820,3120,219156,NA,44000,29.22,71.17,12324.53,12324.53,12324.53,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Maplewood Metro Fleet Building - 1779 Mcmenemy Maplewood, MN 55117",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,6,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,45940,Republic Services,NA,Actual weight,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105940,NA,NA,NA,NA,NA,NA,NA,Actual weight,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,60000,56.64,56.93,17779.17,17779.17,17779.17,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Mendota Heights Truck Station - 2229 Pilot Knob Road Mendota Heights, MN 55120",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,50,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,140940,Republic Services,NA,Actual weight,424000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564940,NA,NA,NA,NA,NA,NA,NA,Actual weight,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,2502.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3272.5,NA,424000,75.05,75.2,11364.25,11364.25,11364.25,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: North Branch Truck Station - 4841 Saint Croix Trail North Branch, MN 55056",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,14,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Waste Management,NA,Actual weight,38940,Waste Management,NA,Actual weight,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,17.04,17.04,3352.86,3352.86,3352.86,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Oakdale Headquarters - 3485 Hadley Avenue North Oakdale, MN 55128",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,160,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Waste Management,NA,Actual weight,174660,Waste Management,NA,Actual weight,192000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366660,NA,NA,NA,NA,Actual weight,1610,NA,Actual weight,27132,NA,NA,NA,NA,Actual weight,5075,NA,NA,NA,NA,NA,NA,NA,Actual weight,586.5,NA,NA,NA,NA,Actual weight,10077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,85060,NA,NA,NA,NA,129540.5,NA,192000,52.36,64.8,3101.25,3101.25,3101.25,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Plymouth Truck Station - 2315 Fernbrook Avenue Plymouth, MN 55441",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,29,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,81440,Republic Services,NA,Actual weight,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,37.08,37.08,4463.45,4463.45,4463.45,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Roseville Waters Edge - 1500 County Road B2 W Roseville, MN 55113",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,593,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic,NA,Actual weight,157240,NA,NA,Actual weight,67080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,23940,248260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual weight,16525,NA,Actual weight,637.5,NA,NA,NA,NA,Actual weight,29400,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carpeting,NA,NA,NA,Actual weight,574.5,NA,NA,NA,NA,Actual weight,1880,NA,49017,NA,67080,36.66,47.11,501.31,501.31,501.31,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Shakopee Truck Station - 12550 Chestnut Boulevard Shakopee, MN 55379",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,15,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Waste Management,NA,Actual weight,31940,Waste Management,NA,Actual weight,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52000,61.95,61.95,5596,5596,5596,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
"Metro: Spring Lake Park Truck Station - 1530 County Hwy 10 Spring Lake Park, MN 55432",NA,NA,"na, na","n/a, n/a",Aggregated Remaining Facilities,,F,METC,NA,NA,NA,NA,NA,NA,NA,27,No,NA,No,NA,Maureen Widmer,651-234-7735,651-234-7459,maureen.widmer@state.mn.us,Republic Services,NA,Actual weight,67880,Republic Services,NA,Actual weight,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119880,NA,NA,NA,NA,NA,NA,NA,Actual weight,6090,NA,NA,NA,NA,Actual weight,440,NA,NA,NA,NA,NA,NA,NA,Actual weight,3,NA,NA,NA,NA,NA,NA,NA,Actual weight,175,NA,NA,NA,NA,Actual weight,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6988,NA,52000,43.38,46.5,4698.81,4698.81,4698.81,Yes,NA,NA,Yes,NA,NA,Default to double-sided (duplex) printing
